date,close_price_PAXGUSD,return_PAXGUSD,signal_PAXGUSD,position_PAXGUSD,signal_return_PAXGUSD,signal_basket_return,cum_signal_basket_return,cum_return_PAXGUSD,cum_signal_return_PAXGUSD
2024-03-20 00:00:00,2184.353027,0.024749568,1,1,0.024749568,0.024749568,0.1227702,0.440380963,0.1227702
2024-03-21 00:00:00,2173.565918,-0.004938354,1,1,-0.004938354,-0.004938354,0.117225563,0.433267851,0.117225563
2024-03-22 00:00:00,2150.17041,-0.010763652,1,1,-0.010763652,-0.010763652,0.105200135,0.417840654,0.105200135
2024-03-23 00:00:00,2148.237061,-0.000899161,1,1,-0.000899161,-0.000899161,0.104206382,0.416565787,0.104206382
2024-03-24 00:00:00,2158.837646,0.004934551,1,1,0.004934551,0.004934551,0.109655145,0.423555904,0.109655145
2024-03-25 00:00:00,2167.076172,0.003816186,1,1,0.003816186,0.003816186,0.113889795,0.428988458,0.113889795
2024-03-26 00:00:00,2164.53833,-0.00117109,1,1,-0.00117109,-0.00117109,0.11258533,0.427314983,0.11258533
2024-03-27 00:00:00,2168.571045,0.001863083,1,1,0.001863083,0.001863083,0.114658169,0.42997419,0.114658169
2024-03-28 00:00:00,2213.754883,0.020835766,1,1,0.020835766,0.020835766,0.137882925,0.459768797,0.137882925
2024-03-29 00:00:00,2217.904541,0.001874489,1,1,0.001874489,0.001874489,0.140015874,0.462505116,0.140015874
2024-03-30 00:00:00,2208.102539,-0.004419488,1,1,-0.004419488,-0.004419488,0.134977587,0.456041593,0.134977587
2024-03-31 00:00:00,2220.931152,0.005809791,1,1,0.005809791,0.005809791,0.141571569,0.46450089,0.141571569
2024-04-01 00:00:00,2233.738281,0.005766558,1,1,0.005766558,0.005766558,0.148154508,0.472946019,0.148154508
2024-04-02 00:00:00,2262.977051,0.013089613,1,1,0.013089613,0.013089613,0.163183407,0.492226313,0.163183407
2024-04-03 00:00:00,2300.304199,0.016494709,1,1,0.016494709,0.016494709,0.182369779,0.516840152,0.182369779
2024-04-04 00:00:00,2270.654785,-0.012889345,1,1,-0.012889345,-0.012889345,0.167129807,0.497289076,0.167129807
2024-04-05 00:00:00,2317.159912,0.020480932,1,1,0.020480932,0.020480932,0.191033713,0.527954952,0.191033713
2024-04-06 00:00:00,2303.866211,-0.005737067,1,1,-0.005737067,-0.005737067,0.184200673,0.519188973,0.184200673
2024-04-07 00:00:00,2289.187012,-0.00637155,1,1,-0.00637155,-0.00637155,0.176655479,0.509509384,0.176655479
2024-04-08 00:00:00,2319.349609,0.013176118,1,1,0.013176118,0.013176118,0.192159231,0.529398857,0.192159231
2024-04-09 00:00:00,2332.941406,0.005860176,1,1,0.005860176,0.005860176,0.199145493,0.538361404,0.199145493
2024-04-10 00:00:00,2323.704346,-0.003959405,1,1,-0.003959405,-0.003959405,0.19439759,0.532270407,0.19439759
2024-04-11 00:00:00,2365.912354,0.018164104,1,1,0.018164104,0.018164104,0.216092753,0.560102727,0.216092753
2024-04-12 00:00:00,2358.375,-0.003185813,1,1,-0.003185813,-0.003185813,0.212218509,0.555132532,0.212218509
2024-04-13 00:00:00,2447.331299,0.037719319,1,1,0.037719319,0.037719319,0.257942566,0.613791072,0.257942566
2024-04-14 00:00:00,2394.861084,-0.021439768,1,1,-0.021439768,-0.021439768,0.230972569,0.579191766,0.230972569
2024-04-15 00:00:00,2436.0979,0.017218876,1,1,0.017218876,0.017218876,0.252168533,0.606383673,0.252168533
2024-04-16 00:00:00,2402.253662,-0.013892807,1,1,-0.013892807,-0.013892807,0.234772397,0.584066495,0.234772397
2024-04-17 00:00:00,2395.954834,-0.00262205,1,1,-0.00262205,-0.00262205,0.231534763,0.579912994,0.231534763
2024-04-18 00:00:00,2387.431885,-0.003557224,1,1,-0.003557224,-0.003557224,0.227153917,0.574292889,0.227153917
2024-04-19 00:00:00,2398.142822,0.004486385,1,1,0.004486385,0.004486385,0.232659402,0.581355772,0.232659402
2024-04-20 00:00:00,2390.172852,-0.003323393,1,1,-0.003323393,-0.003323393,0.22856279,0.576100305,0.22856279
2024-04-21 00:00:00,2376.441406,-0.005744959,1,1,-0.005744959,-0.005744959,0.221504747,0.567045674,0.221504747
2024-04-22 00:00:00,2323.062988,-0.022461491,1,1,-0.022461491,-0.022461491,0.194067929,0.531847491,0.194067929
2024-04-23 00:00:00,2309.416504,-0.00587435,1,1,-0.00587435,-0.00587435,0.187053556,0.522848883,0.187053556
2024-04-24 00:00:00,2295.919922,-0.005844152,1,1,-0.005844152,-0.005844152,0.180116235,0.513949122,0.180116235
2024-04-25 00:00:00,2326.02417,0.013112064,1,1,0.013112064,0.013112064,0.195589994,0.533800119,0.195589994
2024-04-26 00:00:00,2343.395996,0.007468463,1,1,0.007468463,0.007468463,0.204519214,0.545255249,0.204519214
2024-04-27 00:00:00,2356.544434,0.005610847,1,1,0.005610847,0.005610847,0.211277587,0.553925441,0.211277587
2024-04-28 00:00:00,2352.764404,-0.001604056,1,1,-0.001604056,-0.001604056,0.20933463,0.551432857,0.20933463
2024-04-29 00:00:00,2344.950195,-0.003321288,1,1,-0.003321288,-0.003321288,0.205318081,0.546280101,0.205318081
2024-04-30 00:00:00,2299.805908,-0.019251704,1,1,-0.019251704,-0.019251704,0.182113654,0.516511574,0.182113654
2024-05-01 00:00:00,2307.313477,0.003264436,1,1,0.003264436,0.003264436,0.185972588,0.521462129,0.185972588
2024-05-02 00:00:00,2293.148438,-0.006139191,1,1,-0.006139191,-0.006139191,0.178691675,0.512121582,0.178691675
2024-05-03 00:00:00,2289.556641,-0.001566317,0,0.5,-0.001566317,-0.001566317,0.176845471,0.50975312,0.176845471
2024-05-04 00:00:00,2287.263916,-0.001001384,1,1,-0.000500692,-0.000500692,0.176256234,0.508241278,0.176256234
2024-05-05 00:00:00,2286.94751,-0.000138334,0,0.5,-0.000138334,-0.000138334,0.176093518,0.508032637,0.176093518
